PDB_ID	Binding_Type	pK	Max_Prediction	Mean_High_Prediction
2j95	Ki	8.398	0.990	0.577
2ovy	Ki	8.398	0.957	0.500
2uwl	Ki	8.398	0.989	0.549
2pbw	Ki	8.255	0.784	0.364
2jfz	Ki	5.237	0.733	0.304
2j94	Ki	6.272	0.991	0.553
2qzr	Ki	7.260	0.932	0.453
2qrk	Ki	4.260	0.500	0.243
2o4z	Ki	6.247	0.893	0.392
2vuk	Kd	3.903	0.930	0.531
2psv	Ki	7.237	0.993	0.670
2q38	Ki	5.225	0.707	0.350
2cen	Ki	8.301	0.994	0.630
2q5k	Ki	11.301	0.993	0.651
2jds	Ki	8.201	0.978	0.516
2i4v	Ki	11.201	0.990	0.614
2qdt	Ki	5.187	0.500	0.209
2uy3	Ki	3.222	0.500	0.221
2h6t	Ki	7.222	0.701	0.267
2pow	Ki	7.201	0.948	0.507
3b3w	Ki	4.187	0.500	0.197
2v2q	Ki	4.148	0.569	0.274
2pov	Ki	7.125	0.934	0.439
2q1q	Ki	8.155	0.899	0.458
2z1w	Ki	4.081	0.895	0.449
2v2v	Ki	4.067	0.519	0.271
2glp	Ki	5.013	0.659	0.214
2q2a	Kd	7.409	0.500	0.213
2vt3	Kd	4.155	0.532	0.250
3exe	Kd	6.959	0.839	0.213
3cow	Kd	6.903	0.771	0.286
2rcb	Kd	6.788	0.500	0.196
2vpn	Kd	6.721	0.834	0.202
2jgs	Kd	6.620	0.696	0.178
2vwc	Kd	6.620	0.972	0.467
2qpu	Kd	3.602	0.500	0.370
2p7z	Kd	6.582	0.821	0.391
2p7g	Kd	6.527	0.798	0.366
3d0b	Kd	6.538	0.985	0.507
3bva	Kd	6.523	0.986	0.557
2vw5	Kd	8.523	0.969	0.464
3cj4	Kd	6.509	0.886	0.336
2p3i	Kd	3.481	0.505	0.240
3d2e	Kd	6.420	0.941	0.250
3c2o	Kd	3.347	0.500	0.205
3cj5	Kd	6.337	0.918	0.353
2zb1	Kd	6.319	0.939	0.500
2pvu	Kd	6.310	0.581	0.249
2q89	Kd	6.301	0.581	0.272
2vrj	Kd	6.301	0.839	0.302
3ebl	Kd	6.301	0.768	0.260
2qbu	Kd	6.190	0.620	0.227
2p7a	Kd	6.103	0.738	0.307
3c2r	Kd	3.108	0.581	0.152
2vmd	Kd	3.022	0.500	0.167
3coy	Kd	6.018	0.791	0.281
3ckb	Kd	2.983	0.605	0.203
2rcn	Kd	6.000	0.762	0.318
2vmc	Kd	2.939	0.500	0.171
3eeb	Kd	5.886	0.500	0.253
3e5u	Kd	5.854	0.561	0.205
2q88	Kd	5.796	0.566	0.271
2vyt	Kd	2.735	0.709	0.251
2pqc	Kd	5.745	0.787	0.275
3c2f	Kd	1.996	0.531	0.166
3bxg	Kd	4.959	0.637	0.244
3exh	Kd	4.883	0.709	0.214
3bbb	Kd	7.000	0.715	0.233
2rin	Kd	4.000	0.500	0.226
3c39	Kd	3.963	0.805	0.303
2vpe	Kd	4.943	0.692	0.376
2vo4	Kd	4.936	0.500	0.189
3cd5	Kd	7.896	0.890	0.246
3ccw	Kd	7.870	0.738	0.199
3cd7	Kd	7.845	0.800	0.210
2vmf	Kd	5.854	0.500	0.202
3c84	Kd	7.854	0.560	0.199
3cj2	Kd	4.854	0.853	0.278
2pym	Kd	6.824	0.992	0.648
2r23	Kd	3.721	0.801	0.339
2vfk	Kd	3.712	0.563	0.250
3f17	Kd	8.627	0.948	0.509
2reg	Kd	5.638	0.500	0.177
3bex	Kd	5.569	0.500	0.189
3bug	Kd	3.180	0.955	0.439
3coz	Kd	5.569	0.761	0.280
3bxf	Kd	5.542	0.585	0.246
2rio	Kd	4.690	0.912	0.294
3bra	Kd	2.699	0.943	0.451
3f3e	Kd	7.699	0.619	0.164
2q63	Kd	7.180	0.991	0.620
3f8c	Kd	7.678	0.939	0.348
3fat	Kd	7.642	0.850	0.347
3ery	Kd	5.658	0.594	0.333
3buh	Kd	3.658	0.961	0.506
3f8f	Kd	6.627	0.917	0.253
3g32	Ki	3.712	0.688	0.330
2pyy	Kd	4.602	0.500	0.165
3d7k	Kd	4.602	0.869	0.211
3cda	Kd	7.580	0.763	0.207
3cd0	Kd	7.570	0.763	0.206
3cct	Kd	7.562	0.720	0.196
2pyn	Kd	7.569	0.993	0.650
3b2q	Kd	4.553	0.673	0.209
3h8b	Ki	6.292	0.733	0.346
3brn	Kd	8.699	0.500	0.234
3c4h	Kd	5.699	0.942	0.303
2q64	Kd	8.523	0.994	0.639
3bvb	Kd	5.495	0.994	0.655
3bxe	Kd	5.476	0.707	0.273
2zkj	Kd	5.481	0.806	0.317
2vc9	Kd	8.444	0.500	0.219
2vpo	Kd	5.420	0.769	0.227
3bzf	Kd	4.523	0.511	0.288
2r0h	Kd	3.509	0.747	0.269
2r1y	Kd	4.509	0.894	0.316
2qtn	Kd	3.418	0.600	0.248
2zdm	Kd	6.413	0.992	0.551
3f18	Kd	7.403	0.953	0.537
3f6e	Kd	2.383	0.917	0.283
2zdl	Kd	6.396	0.992	0.552
2zdk	Kd	6.369	0.994	0.548
3dp4	Kd	7.367	0.858	0.394
3bbf	Kd	5.284	0.500	0.209
3f16	Kd	8.228	0.937	0.517
2vvn	Kd	7.301	0.691	0.308
3ccz	Kd	7.287	0.833	0.199
3f48	Kd	6.291	0.500	0.125
2zdn	Kd	6.250	0.994	0.561
2qbw	Kd	7.252	0.500	0.317
3bxh	Kd	4.025	0.620	0.232
3cdb	Kd	7.019	0.704	0.209
3f80	Kd	4.222	0.874	0.305
3f1a	Kd	7.214	0.947	0.519
2pqb	Kd	7.201	0.786	0.274
3c79	Kd	7.201	0.569	0.191
3f19	Kd	7.186	0.950	0.551
3f3d	Kd	7.161	0.500	0.145
3bu1	Kd	8.149	0.500	0.374
3f15	Kd	8.103	0.944	0.507
2r75	Kd	6.146	0.798	0.312
3buf	Kd	3.097	0.951	0.427
2qi7	Ki	10.208	0.992	0.653
2qbp	Ki	8.398	0.939	0.444
3c56	Ki	7.886	0.749	0.238
2qi5	Ki	10.854	0.994	0.667
2qi6	Ki	10.569	0.992	0.668
2qi4	Ki	10.444	0.992	0.658
2qbq	Ki	7.444	0.932	0.444
2r38	Ki	7.444	0.992	0.638
3ekr	Ki	7.523	0.958	0.486
3c52	Ki	7.301	0.892	0.273
2rfh	Ki	6.824	0.534	0.224
2zq0	Ki	6.824	0.500	0.197
2v2h	Ki	3.770	0.818	0.286
2qbs	Ki	6.678	0.937	0.448
2za0	Ki	6.638	0.558	0.208
2pwr	Ki	6.585	0.994	0.640
2pvh	Ki	6.585	0.977	0.529
2z4o	Ki	9.569	0.993	0.636
2pwc	Ki	6.569	0.991	0.653
2vh6	Ki	9.699	0.991	0.550
3eko	Ki	6.699	0.959	0.474
2p4s	Ki	9.509	0.611	0.237
2pvm	Ki	6.444	0.979	0.504
2v2c	Ki	3.409	0.775	0.278
2qnp	Ki	6.409	0.990	0.657
2vw1	Ki	3.523	0.759	0.245
3ckp	Ki	6.348	0.986	0.535
2qbr	Ki	6.328	0.938	0.432
2w26	Ki	9.398	0.974	0.507
3b65	Ki	9.268	0.938	0.380
2vw2	Ki	3.301	0.500	0.159
3bkl	Ki	6.168	0.926	0.270
2ri9	Ki	3.222	0.687	0.173
2qnq	Ki	6.114	0.990	0.670
2qmg	Ki	9.155	0.987	0.541
3d91	Ki	9.155	0.810	0.355
2qd7	Ki	9.097	0.993	0.598
2rkf	Ki	9.081	0.993	0.561
3bkk	Ki	6.081	0.942	0.243
2qd8	Ki	9.071	0.992	0.610
3cke	Ki	6.097	0.610	0.188
3bgb	Ki	6.046	0.991	0.653
2vqt	Ki	6.000	0.546	0.219
3c2u	Ki	2.903	0.500	0.115
3b67	Ki	8.854	0.956	0.380
3e93	Ki	8.854	0.971	0.513
2r3t	Ki	5.854	0.994	0.647
2zcq	Ki	8.824	0.887	0.268
3d1z	Ki	8.796	0.992	0.636
3b5r	Ki	8.770	0.966	0.397
3bqc	Ki	5.733	0.967	0.402
2vkm	Ki	8.745	0.985	0.543
2rkd	Ki	2.721	0.826	0.246
3ckz	Ki	8.721	0.840	0.266
2qg0	Ki	5.721	0.990	0.529
3cyx	Ki	8.000	0.994	0.647
3e92	Ki	8.000	0.898	0.442
2vjx	Ki	4.959	0.679	0.201
3cf8	Ki	4.896	0.538	0.214
2uy0	Ki	6.921	0.994	0.650
3bl0	Ki	6.917	0.925	0.458
2qw1	Ki	3.903	0.529	0.236
3d7z	Ki	7.921	0.945	0.463
2zcr	Ki	6.870	0.904	0.311
2zn7	Ki	7.886	0.942	0.419
2vo5	Ki	4.886	0.657	0.182
3d4z	Ki	4.886	0.614	0.183
3ewj	Ki	6.845	0.928	0.342
2rka	Ki	3.000	0.840	0.255
3dd8	Ki	7.854	0.930	0.488
2r9x	Ki	4.854	0.805	0.300
2ra0	Ki	7.799	0.994	0.593
3c88	Ki	6.804	0.516	0.249
3b7u	Ki	7.745	0.820	0.379
3czv	Ki	7.796	0.939	0.394
3fas	Ki	6.767	0.836	0.346
3cyw	Ki	7.770	0.992	0.667
3d50	Ki	4.770	0.708	0.187
2zc9	Ki	6.745	0.987	0.474
2zgx	Ki	6.745	0.988	0.471
2p4y	Ki	9.000	0.929	0.397
2r43	Ki	6.000	0.992	0.650
3ddg	Ki	6.000	0.772	0.198
2pqz	Ki	5.668	0.990	0.666
2qd6	Ki	8.678	0.993	0.637
2q8z	Ki	5.678	0.734	0.290
3d1x	Ki	8.658	0.994	0.610
3bl1	Ki	5.599	0.949	0.512
3b66	Ki	8.602	0.964	0.412
3b7r	Ki	7.699	0.937	0.423
2ves	Ki	7.699	0.894	0.403
1w0z	Ki	7.678	0.988	0.540
3cs7	Ki	10.678	0.993	0.579
2yz3	Ki	6.658	0.953	0.349
3ddf	Ki	4.658	0.755	0.197
2rk8	Ki	3.638	0.865	0.267
3dln	Ki	6.604	0.821	0.390
2pvl	Ki	7.620	0.980	0.526
3be9	Ki	7.620	0.979	0.548
2pu2	Ki	4.432	0.620	0.317
2zmm	Ki	7.602	0.951	0.459
2v54	Ki	4.602	0.857	0.287
3djk	Ki	10.585	0.993	0.658
1w13	Ki	8.699	0.988	0.542
2vj8	Ki	8.699	0.925	0.407
3eqr	Ki	8.699	0.952	0.451
3d4y	Ki	5.699	0.650	0.189
2vh0	Ki	8.509	0.993	0.591
2uxz	Ki	8.481	0.993	0.623
2q6f	Ki	5.444	0.880	0.266
2za5	Ki	8.432	0.857	0.329
3bft	Ki	6.491	0.813	0.363
2qhy	Ki	7.481	0.992	0.666
3cm2	Ki	6.469	0.857	0.434
3bgs	Ki	9.420	0.720	0.336
2qg2	Ki	5.398	0.987	0.555
3d83	Ki	8.357	0.973	0.511
3bv9	Ki	5.357	0.992	0.474
2qci	Ki	8.337	0.994	0.625
2qi0	Ki	7.377	0.992	0.652
2vvs	Ki	7.337	0.906	0.374
2r2m	Ki	7.327	0.991	0.527
2qtt	Ki	4.319	0.502	0.243
2vsl	Ki	8.398	0.892	0.441
2zda	Ki	8.398	0.989	0.484
3b68	Ki	8.398	0.958	0.413
3d0e	Ki	8.398	0.993	0.450
3dyo	Ki	2.301	0.575	0.137
3e5a	Ki	8.229	0.916	0.423
2qi1	Ki	7.301	0.993	0.658
3d52	Ki	3.284	0.830	0.192
3bfu	Ki	6.275	0.792	0.372
2qhz	Ki	7.276	0.991	0.648
2vk6	Ki	5.301	0.750	0.255
2ole	Ki	7.250	0.838	0.224
2jkp	Ki	4.229	0.500	0.218
2jke	Ki	4.229	0.500	0.168
2pvk	Ki	8.301	0.978	0.521
2rd6	Ki	8.301	0.928	0.312
3drf	Kd	7.000	0.860	0.252
3drg	Kd	7.000	0.846	0.266
3el1	Kd	9.638	0.993	0.636
2r59	Ki	8.187	0.940	0.433
2zfp	Ki	5.167	0.986	0.440
3b7j	Ki	5.167	0.608	0.153
2epn	Ki	7.222	0.583	0.214
3c8a	Ki	6.180	0.565	0.244
1w11	Ki	8.222	0.988	0.532
2zcs	Ki	8.222	0.899	0.297
3d1y	Ki	8.222	0.994	0.629
3b4f	Ki	8.143	0.960	0.535
2pq9	Ki	8.108	0.856	0.328
2e9u	Ki	8.100	0.986	0.535
3d51	Ki	4.155	0.751	0.171
2vot	Ki	7.143	0.844	0.219
3c8b	Ki	6.105	0.534	0.244
2rkg	Ki	8.086	0.988	0.542
2qtg	Ki	5.081	0.508	0.240
2v77	Ki	5.060	0.500	0.217
2rke	Ki	4.084	0.787	0.204
3cl0	Ki	7.072	0.890	0.319
3c89	Ki	6.073	0.548	0.232
2whp	Kd	4.000	0.700	0.252
2pvj	Ki	8.097	0.977	0.502
2r9w	Ki	5.097	0.803	0.299
3bgc	Ki	5.018	0.992	0.668
2vnt	Ki	8.004	0.993	0.589
3f3c	Ki	6.022	0.500	0.159
3jvs	Kd	6.538	0.987	0.527
2vl4	Ki	6.011	0.774	0.224
2wjg	Kd	7.097	0.936	0.475
2vk2	Kd	6.886	0.781	0.294
3fzy	Kd	6.745	0.500	0.273
3a1c	Kd	4.000	0.757	0.234
3g3r	Kd	6.481	0.500	0.202
3ekx	Kd	9.409	0.993	0.659
3ekv	Kd	9.409	0.994	0.678
3fvh	Kd	6.350	0.686	0.329
3ed0	Kd	6.347	0.564	0.176
3f33	Kd	3.337	0.500	0.110
3f34	Kd	3.161	0.500	0.113
2zym	Kd	6.137	0.556	0.316
3gnw	Kd	9.102	0.837	0.353
2v58	Kd	9.086	0.950	0.373
3dsz	Kd	7.767	0.500	0.288
3iw5	Kd	6.076	0.968	0.472
3e12	Kd	5.991	0.827	0.257
2w8j	Kd	2.959	0.863	0.273
3i9g	Kd	8.959	0.923	0.321
2weq	Kd	5.896	0.971	0.453
3ekp	Kd	8.886	0.989	0.634
3h1x	Kd	5.886	0.813	0.373
3iue	Kd	5.824	0.637	0.269
3ivx	Kd	5.745	0.673	0.287
2w47	Kd	4.979	0.500	0.253
3ekw	Kd	7.963	0.992	0.614
3ime	Kd	3.000	0.719	0.192
2wzf	Kd	7.000	0.714	0.266
3ijh	Kd	4.000	0.789	0.287
3hv8	Kd	6.982	0.525	0.284
3gkz	Kd	8.000	0.500	0.182
3gvu	Kd	8.000	0.969	0.452
2vxn	Kd	5.000	0.767	0.247
3cfn	Kd	5.000	0.707	0.342
3gm0	Kd	7.770	0.608	0.229
3imc	Kd	2.959	0.527	0.174
2weh	Kd	5.949	0.804	0.379
2weo	Kd	6.928	0.741	0.379
3evd	Kd	6.907	0.733	0.323
2wor	Kd	3.903	0.528	0.239
3el5	Kd	7.724	0.989	0.592
2wos	Kd	3.903	0.820	0.254
2w4x	Kd	4.854	0.906	0.303
3f70	Kd	4.854	0.500	0.141
3gcp	Kd	7.824	0.906	0.423
2zwz	Kd	7.788	0.500	0.133
3gcu	Kd	6.783	0.972	0.544
3bpc	Kd	4.796	0.883	0.317
3dgo	Kd	6.745	0.693	0.269
3fjg	Kd	3.728	0.860	0.242
2v59	Kd	7.745	0.954	0.384
3fuc	Kd	9.721	0.751	0.293
3fj7	Kd	3.710	0.861	0.245
2wf5	Kd	6.000	0.867	0.408
3elc	Kd	2.695	0.500	0.271
3a1e	Kd	2.658	0.728	0.224
3fwv	Kd	5.638	0.523	0.415
3f37	Kd	2.620	0.500	0.123
3e3c	Kd	5.620	0.500	0.216
3e6y	Kd	5.602	0.878	0.285
3jup	Kd	5.580	0.500	0.167
3kjd	Kd	8.538	0.895	0.303
3dp9	Kd	9.682	0.845	0.328
3g0e	Kd	7.699	0.982	0.376
3isj	Kd	3.678	0.500	0.274
3ioc	Kd	3.678	0.762	0.297
3g19	Kd	6.670	0.672	0.331
3d78	Kd	7.638	0.639	0.188
2zq2	Kd	6.559	0.995	0.536
2zfs	Kd	6.542	0.992	0.525
3iub	Kd	4.538	0.750	0.284
3fhb	Kd	5.699	0.761	0.290
2wn9	Kd	8.523	0.840	0.220
3da9	Kd	5.509	0.988	0.558
3iw6	Kd	5.483	0.954	0.461
3ga5	Kd	5.495	0.500	0.260
2zft	Kd	6.523	0.992	0.539
3iob	Kd	3.420	0.611	0.277
3el9	Kd	8.398	0.991	0.584
2weg	Kd	6.503	0.741	0.370
2wnj	Kd	6.481	0.823	0.222
3gx0	Kd	3.481	0.732	0.248
3dri	Kd	4.424	0.661	0.251
2we3	Kd	4.432	0.631	0.224
2w08	Kd	3.420	0.736	0.195
2w9h	Kd	6.367	0.977	0.514
3kv2	Kd	7.323	0.775	0.297
2wnc	Kd	6.320	0.738	0.219
2wc4	Kd	5.292	0.792	0.313
3ivg	Kd	4.301	0.701	0.294
2wuf	Kd	4.292	0.811	0.237
2vzr	Kd	4.279	0.500	0.332
3a6t	Kd	7.284	0.612	0.346
3jrs	Kd	4.284	0.984	0.344
3ioe	Kd	3.268	0.692	0.291
3gcs	Kd	7.252	0.952	0.482
3h78	Kd	4.244	0.500	0.149
3cyz	Kd	7.222	0.500	0.196
3dzt	Kd	7.220	0.857	0.257
3cft	Kd	4.194	0.585	0.299
3el4	Kd	7.171	0.991	0.600
2w8w	Kd	2.125	0.862	0.278
3fql	Kd	7.149	0.878	0.328
3hww	Kd	7.125	0.566	0.158
3a1d	Kd	4.125	0.734	0.217
3ivc	Kd	4.125	0.710	0.288
2v57	Kd	7.102	0.500	0.171
3juo	Kd	5.068	0.500	0.169
3f78	Kd	3.097	0.645	0.252
3gk1	Kd	4.097	0.725	0.298
3iod	Kd	4.097	0.817	0.290
2wej	Kd	6.076	0.703	0.322
3kr8	Kd	8.097	0.988	0.638
2wer	Kd	7.046	0.956	0.394
3fzn	Kd	4.013	0.854	0.258
2wgj	Ki	8.699	0.984	0.480
3g35	Ki	4.678	0.752	0.353
3h89	Ki	7.638	0.710	0.349
3f5k	Ki	4.620	0.883	0.325
2zjw	Ki	7.699	0.954	0.342
2zy1	Ki	7.398	0.957	0.313
3f5j	Ki	4.284	0.884	0.315
3ikg	Ki	7.244	0.925	0.438
3h5b	Ki	10.004	0.993	0.669
3jya	Ki	6.886	0.976	0.560
3fx6	Ki	6.796	0.500	0.149
3ikd	Ki	6.747	0.914	0.424
3dk1	Ki	9.745	0.993	0.662
3f5l	Ki	3.719	0.894	0.286
3gs6	Ki	6.585	0.678	0.278
3gsm	Ki	6.481	0.616	0.297
3fv3	Ki	9.523	0.858	0.299
3g0w	Ki	9.523	0.957	0.442
3g5k	Ki	9.523	0.737	0.283
3ctt	Ki	6.347	0.500	0.211
2wk6	Ki	3.319	0.549	0.154
3hk1	Ki	6.174	0.938	0.386
2wb5	Ki	9.131	0.615	0.237
3ibu	Ki	9.155	0.746	0.356
2w8y	Ki	9.086	0.922	0.394
2wc3	Ki	6.081	0.778	0.324
3gba	Ki	9.072	0.842	0.399
3ffg	Ki	9.076	0.994	0.565
3hb4	Ki	9.046	0.542	0.224
3iss	Ki	6.046	0.688	0.270
3g34	Ki	2.959	0.799	0.361
3dcc	Ki	8.959	0.931	0.511
3ebp	Ki	5.907	0.878	0.389
3egt	Ki	8.900	0.745	0.258
3g31	Ki	2.886	0.591	0.293
3ehy	Ki	5.854	0.960	0.558
2zxg	Ki	8.824	0.966	0.296
3fcq	Ki	2.770	0.945	0.478
2wkz	Ki	8.770	0.994	0.624
3jvr	Ki	5.724	0.984	0.518
3djq	Ki	2.980	0.844	0.280
3g2y	Ki	2.000	0.580	0.309
2vwn	Ki	8.000	0.992	0.581
3fur	Ki	8.000	0.904	0.440
3hs4	Ki	8.000	0.949	0.478
3gbe	Ki	5.000	0.850	0.227
3daz	Ki	7.928	0.941	0.467
3iww	Ki	7.959	0.881	0.296
2w67	Ki	4.959	0.738	0.336
3gbb	Ki	6.900	0.848	0.389
2jjb	Ki	7.921	0.500	0.188
3eft	Ki	7.921	0.968	0.529
3eax	Ki	4.921	0.921	0.380
3hig	Ki	7.886	0.689	0.199
3ibl	Ki	7.836	0.856	0.355
2wzs	Ki	3.854	0.796	0.215
3i7e	Ki	10.854	0.993	0.653
3dx2	Ki	6.824	0.731	0.156
3djx	Ki	2.807	0.887	0.323
3eb1	Ki	4.788	0.926	0.393
2wl0	Ki	7.796	0.990	0.591
3dnd	Ki	4.796	0.953	0.450
3ggu	Ki	9.770	0.972	0.515
3pwd	Ki	6.658	0.974	0.441
3d6p	Ki	3.747	0.847	0.348
3ebo	Ki	4.721	0.802	0.357
3f6g	Ki	4.721	0.500	0.378
3dd0	Ki	9.000	0.860	0.450
3d9z	Ki	8.699	0.932	0.510
2wky	Ki	8.590	0.657	0.331
2wca	Ki	5.602	0.929	0.382
3kgp	Ki	2.572	0.958	0.500
3gvb	Ki	2.585	0.500	0.248
3ibi	Ki	8.585	0.820	0.286
3ejq	Ki	8.569	0.771	0.203
3ejr	Ki	8.569	0.762	0.213
3ejp	Ki	8.553	0.771	0.198
3ewc	Ki	7.699	0.818	0.287
3fee	Ki	6.638	0.835	0.217
2zx8	Ki	9.636	0.738	0.185
3hl7	Ki	7.638	0.957	0.486
3ibn	Ki	7.611	0.894	0.381
3iph	Ki	7.600	0.924	0.474
2zx6	Ki	10.600	0.697	0.196
3g0i	Ki	3.602	0.648	0.148
3h30	Ki	4.535	0.973	0.414
3ehx	Ki	7.602	0.957	0.485
3gc4	Ki	7.602	0.954	0.474
3dx1	Ki	3.577	0.669	0.147
3djv	Ki	4.554	0.882	0.326
3ff3	Ki	3.569	0.707	0.215
2zz1	Ki	4.538	0.681	0.380
2zz2	Ki	4.538	0.666	0.363
3ge7	Ki	8.699	0.953	0.417
3hvj	Ki	8.699	0.933	0.430
3g30	Ki	2.509	0.581	0.268
2wr8	Ki	5.444	0.500	0.203
3dx3	Ki	6.523	0.668	0.168
2vwo	Ki	7.509	0.992	0.580
2zx7	Ki	10.492	0.761	0.214
3g1d	Ki	3.481	0.679	0.396
3fed	Ki	7.461	0.641	0.208
3hl5	Ki	4.469	0.932	0.444
2wbg	Ki	4.453	0.816	0.300
3gr2	Ki	2.523	0.666	0.278
2vvc	Ki	8.523	0.993	0.572
3hkt	Ki	5.387	0.801	0.286
3d8z	Ki	3.374	0.882	0.342
3g2z	Ki	2.357	0.522	0.277
3hkn	Ki	5.346	0.806	0.365
3hkq	Ki	5.342	0.725	0.255
3gtc	Ki	2.347	0.633	0.281
3dc3	Ki	8.310	0.947	0.501
3djo	Ki	4.389	0.868	0.334
3kmc	Ki	6.398	0.956	0.423
3ebh	Ki	6.320	0.929	0.402
3ip8	Ki	2.284	0.553	0.219
3hek	Ki	8.268	0.986	0.523
3hll	Ki	8.237	0.948	0.434
3fl5	Ki	7.284	0.981	0.457
3gc5	Ki	7.260	0.955	0.478
3f8e	Ki	7.229	0.886	0.418
3fqe	Ki	8.301	0.980	0.592
3hku	Ki	8.301	0.726	0.263
3hvi	Ki	8.301	0.939	0.434
3jy0	Ki	8.301	0.982	0.575
2zxd	Ki	5.222	0.500	0.152
3gqz	Ki	2.174	0.612	0.288
3djp	Ki	4.199	0.824	0.319
3k2f	Ki	7.201	0.912	0.349
3g1v	Ki	3.190	0.676	0.377
3gdt	Ki	7.194	0.500	0.237
2vvv	Ki	8.222	0.994	0.582
3dne	Ki	5.222	0.963	0.439
3d8w	Ki	8.155	0.967	0.496
3gv9	Ki	2.125	0.500	0.246
3a9i	Ki	4.151	0.504	0.202
3myg	Kd	10.699	0.960	0.460
3ffp	Ki	7.140	0.949	0.527
3dx4	Ki	7.119	0.697	0.150
3d6o	Ki	4.114	0.877	0.346
3ebi	Ki	7.102	0.948	0.400
3mhl	Kd	7.252	0.975	0.453
3f68	Ki	5.060	0.987	0.465
3dbu	Ki	8.056	0.965	0.487
3f7h	Ki	7.086	0.801	0.415
2w5g	Ki	6.066	0.799	0.310
2w66	Ki	4.051	0.892	0.362
2vvu	Ki	8.097	0.992	0.580
3lzu	Kd	10.060	0.994	0.641
2vwm	Ki	7.032	0.994	0.574
2vwl	Ki	7.022	0.993	0.580
2wvz	Ki	4.018	0.775	0.216
2jkh	Ki	8.046	0.993	0.607
3lzs	Kd	10.963	0.993	0.662
3m5e	Kd	7.367	0.968	0.506
3hu3	Kd	6.886	0.848	0.215
3kdb	Kd	9.854	0.991	0.643
3m3x	Kd	6.824	0.969	0.463
3lxk	Kd	9.796	0.961	0.589
3m40	Kd	6.770	0.974	0.503
3m67	Kd	6.745	0.967	0.509
3ip5	Kd	6.222	0.556	0.163
3kdm	Kd	7.000	0.500	0.250
3mhm	Kd	7.000	0.977	0.521
3ip6	Kd	6.602	0.556	0.205
3hzk	Kd	6.699	0.744	0.313
3mhi	Kd	6.699	0.976	0.463
2xjj	Kd	6.509	0.953	0.526
3mho	Kd	6.495	0.964	0.525
3nw3	Kd	6.495	0.688	0.198
2xdx	Kd	6.456	0.971	0.485
3acl	Kd	6.222	0.861	0.283
3hzv	Kd	6.523	0.752	0.299
3k1j	Kd	6.398	0.859	0.164
3kdc	Kd	9.284	0.991	0.642
2xab	Kd	9.268	0.971	0.536
3hcm	Kd	3.301	0.500	0.286
3k5v	Kd	6.301	0.932	0.388
3p2e	Kd	6.222	0.561	0.326
2xjx	Kd	9.149	0.977	0.540
3nex	Kd	6.000	0.717	0.354
2xht	Kd	5.959	0.960	0.484
3kgu	Kd	5.921	0.665	0.342
3neo	Kd	5.921	0.713	0.363
3lka	Kd	2.824	0.940	0.525
3k00	Kd	5.770	0.500	0.248
3gy2	Kd	5.745	0.994	0.557
3k02	Kd	5.000	0.500	0.266
3huc	Kd	5.987	0.958	0.447
3lzz	Kd	3.836	0.623	0.248
3a5y	Kd	7.959	0.783	0.290
3juk	Kd	4.889	0.500	0.152
3m8u	Kd	4.889	0.920	0.280
3ies	Kd	9.921	0.847	0.323
3lp4	Kd	4.883	0.892	0.311
2xjg	Kd	7.824	0.952	0.512
3kmx	Kd	4.824	0.972	0.493
3nq3	Kd	3.777	0.855	0.258
3iqu	Kd	4.770	0.500	0.227
3nim	Kd	4.752	0.869	0.349
2wq5	Kd	3.745	0.710	0.277
3lk8	Kd	7.706	0.946	0.524
3jrx	Kd	9.000	0.853	0.267
3gy3	Kd	5.627	0.994	0.593
3lpl	Kd	5.622	0.535	0.149
3hkw	Kd	8.638	0.884	0.367
3ip9	Kd	5.620	0.646	0.192
3nes	Kd	5.620	0.720	0.360
3mss	Kd	4.658	0.862	0.289
2x4z	Kd	8.569	0.947	0.485
3jyr	Kd	5.538	0.970	0.506
3l59	Kd	3.699	0.974	0.505
3nkk	Kd	4.699	0.981	0.510
3miy	Kd	7.678	0.924	0.435
3oy8	Kd	3.658	0.709	0.301
3ljo	Kd	6.622	0.995	0.539
3lgs	Kd	4.606	0.500	0.257
3jzj	Kd	3.606	0.500	0.261
3o4k	Kd	7.620	0.727	0.222
2xdk	Kd	3.602	0.976	0.471
3fh7	Kd	7.602	0.927	0.427
3p8p	Kd	4.553	0.500	0.181
3kgt	Kd	5.509	0.646	0.330
3i73	Kd	5.491	0.548	0.240
3hmp	Kd	5.489	0.934	0.383
2xde	Kd	5.466	0.650	0.306
3kdd	Kd	8.462	0.992	0.639
3lp7	Kd	5.444	0.743	0.291
3gy7	Kd	4.523	0.977	0.546
2xbv	Kd	8.432	0.994	0.577
3nhi	Kd	8.432	0.517	0.224
3ng4	Kd	5.432	0.500	0.178
3hmo	Kd	7.516	0.956	0.483
3kmy	Kd	4.495	0.966	0.486
3o8p	Kd	6.456	0.892	0.347
3nik	Kd	3.445	0.618	0.252
3kqr	Kd	4.434	0.688	0.208
2wyf	Kd	4.432	0.500	0.278
3hzm	Kd	5.523	0.711	0.250
3mf5	Kd	5.365	0.860	0.271
3npc	Kd	8.337	0.944	0.430
3nee	Kd	5.337	0.692	0.346
2x00	Kd	11.328	0.853	0.238
3k8q	Kd	11.284	0.718	0.318
3n9s	Kd	5.260	0.756	0.248
3lq2	Kd	5.224	0.721	0.216
