PDB_ID	Binding_Type	pK	Max_Prediction
2v58	Kd	9.086	0.950
3dsz	Kd	7.767	0.500
3iw5	Kd	6.076	0.968
3e12	Kd	5.991	0.827
2w8j	Kd	2.959	0.863
3i9g	Kd	8.959	0.923
2weq	Kd	5.896	0.971
3ekp	Kd	8.886	0.989
3h1x	Kd	5.886	0.813
3iue	Kd	5.824	0.637
3ivx	Kd	5.745	0.673
2w47	Kd	4.979	0.500
3ekw	Kd	7.963	0.992
3ime	Kd	3.000	0.719
2wzf	Kd	7.000	0.714
3ijh	Kd	4.000	0.789
3hv8	Kd	6.982	0.525
3gkz	Kd	8.000	0.500
3gvu	Kd	8.000	0.969
2vxn	Kd	5.000	0.767
3cfn	Kd	5.000	0.707
3gm0	Kd	7.770	0.608
3imc	Kd	2.959	0.527
2weh	Kd	5.949	0.804
2weo	Kd	6.928	0.741
3evd	Kd	6.907	0.733
2wor	Kd	3.903	0.528
3el5	Kd	7.724	0.989
2wos	Kd	3.903	0.820
2w4x	Kd	4.854	0.906
3f70	Kd	4.854	0.500
3gcp	Kd	7.824	0.906
2zwz	Kd	7.788	0.500
3gcu	Kd	6.783	0.972
3bpc	Kd	4.796	0.883
3dgo	Kd	6.745	0.693
3fjg	Kd	3.728	0.860
2v59	Kd	7.745	0.954
3fuc	Kd	9.721	0.751
3fj7	Kd	3.710	0.861
2wf5	Kd	6.000	0.867
3elc	Kd	2.695	0.500
3a1e	Kd	2.658	0.728
3fwv	Kd	5.638	0.523
3f37	Kd	2.620	0.500
3e3c	Kd	5.620	0.500
3e6y	Kd	5.602	0.878
3jup	Kd	5.580	0.500
3kjd	Kd	8.538	0.895
3dp9	Kd	9.682	0.845
3g0e	Kd	7.699	0.982
3isj	Kd	3.678	0.500
3ioc	Kd	3.678	0.762
3g19	Kd	6.670	0.672
3d78	Kd	7.638	0.639
2zq2	Kd	6.559	0.995
2zfs	Kd	6.542	0.992
3iub	Kd	4.538	0.750
3fhb	Kd	5.699	0.761
2wn9	Kd	8.523	0.840
3da9	Kd	5.509	0.988
3iw6	Kd	5.483	0.954
3ga5	Kd	5.495	0.500
2zft	Kd	6.523	0.992
3iob	Kd	3.420	0.611
3el9	Kd	8.398	0.991
2weg	Kd	6.503	0.741
2wnj	Kd	6.481	0.823
3gx0	Kd	3.481	0.732
3dri	Kd	4.424	0.661
2we3	Kd	4.432	0.631
2w08	Kd	3.420	0.736
2w9h	Kd	6.367	0.977
3kv2	Kd	7.323	0.775
2wnc	Kd	6.320	0.738
2wc4	Kd	5.292	0.792
3ivg	Kd	4.301	0.701
2wuf	Kd	4.292	0.811
2vzr	Kd	4.279	0.500
3a6t	Kd	7.284	0.612
3jrs	Kd	4.284	0.984
3ioe	Kd	3.268	0.692
3gcs	Kd	7.252	0.952
3h78	Kd	4.244	0.500
3cyz	Kd	7.222	0.500
3dzt	Kd	7.220	0.857
3cft	Kd	4.194	0.585
3el4	Kd	7.171	0.991
2w8w	Kd	2.125	0.862
3fql	Kd	7.149	0.878
3hww	Kd	7.125	0.566
3a1d	Kd	4.125	0.734
3ivc	Kd	4.125	0.710
2v57	Kd	7.102	0.500
3juo	Kd	5.068	0.500
3f78	Kd	3.097	0.645
3gk1	Kd	4.097	0.725
3iod	Kd	4.097	0.817
2wej	Kd	6.076	0.703
3kr8	Kd	8.097	0.988
2wer	Kd	7.046	0.956
3fzn	Kd	4.013	0.854
2wgj	Ki	8.699	0.984
3g35	Ki	4.678	0.752
3h89	Ki	7.638	0.710
3f5k	Ki	4.620	0.883
2zjw	Ki	7.699	0.954
2zy1	Ki	7.398	0.957
3f5j	Ki	4.284	0.884
3ikg	Ki	7.244	0.925
3h5b	Ki	10.004	0.993
3jya	Ki	6.886	0.976
3fx6	Ki	6.796	0.500
3ikd	Ki	6.747	0.914
3dk1	Ki	9.745	0.993
3f5l	Ki	3.719	0.894
3gs6	Ki	6.585	0.678
3gsm	Ki	6.481	0.616
3fv3	Ki	9.523	0.858
3g0w	Ki	9.523	0.957
3g5k	Ki	9.523	0.737
3ctt	Ki	6.347	0.500
2wk6	Ki	3.319	0.549
3hk1	Ki	6.174	0.938
2wb5	Ki	9.131	0.615
3ibu	Ki	9.155	0.746
2w8y	Ki	9.086	0.922
2wc3	Ki	6.081	0.778
3gba	Ki	9.072	0.842
3ffg	Ki	9.076	0.994
3hb4	Ki	9.046	0.542
3iss	Ki	6.046	0.688
3g34	Ki	2.959	0.799
3dcc	Ki	8.959	0.931
3ebp	Ki	5.907	0.878
3egt	Ki	8.900	0.745
3g31	Ki	2.886	0.591
3ehy	Ki	5.854	0.960
2zxg	Ki	8.824	0.966
3fcq	Ki	2.770	0.945
2wkz	Ki	8.770	0.994
3jvr	Ki	5.724	0.984
3djq	Ki	2.980	0.844
3g2y	Ki	2.000	0.580
2vwn	Ki	8.000	0.992
3fur	Ki	8.000	0.904
3hs4	Ki	8.000	0.949
3gbe	Ki	5.000	0.850
3daz	Ki	7.928	0.941
3iww	Ki	7.959	0.881
2w67	Ki	4.959	0.738
3gbb	Ki	6.900	0.848
2jjb	Ki	7.921	0.500
3eft	Ki	7.921	0.968
3eax	Ki	4.921	0.921
3hig	Ki	7.886	0.689
3ibl	Ki	7.836	0.856
2wzs	Ki	3.854	0.796
3i7e	Ki	10.854	0.993
3dx2	Ki	6.824	0.731
3djx	Ki	2.807	0.887
3eb1	Ki	4.788	0.926
2wl0	Ki	7.796	0.990
3dnd	Ki	4.796	0.953
3ggu	Ki	9.770	0.972
3pwd	Ki	6.658	0.974
3d6p	Ki	3.747	0.847
3ebo	Ki	4.721	0.802
3f6g	Ki	4.721	0.500
3dd0	Ki	9.000	0.860
3d9z	Ki	8.699	0.932
2wky	Ki	8.590	0.657
2wca	Ki	5.602	0.929
3kgp	Ki	2.572	0.958
3gvb	Ki	2.585	0.500
3ibi	Ki	8.585	0.820
3ejq	Ki	8.569	0.771
3ejr	Ki	8.569	0.762
3ejp	Ki	8.553	0.771
3ewc	Ki	7.699	0.818
3fee	Ki	6.638	0.835
2zx8	Ki	9.636	0.738
3hl7	Ki	7.638	0.957
3ibn	Ki	7.611	0.894
3iph	Ki	7.600	0.924
2zx6	Ki	10.600	0.697
3g0i	Ki	3.602	0.648
3h30	Ki	4.535	0.973
3ehx	Ki	7.602	0.957
3gc4	Ki	7.602	0.954
3dx1	Ki	3.577	0.669
3djv	Ki	4.554	0.882
3ff3	Ki	3.569	0.707
2zz1	Ki	4.538	0.681
2zz2	Ki	4.538	0.666
3ge7	Ki	8.699	0.953
3hvj	Ki	8.699	0.933
3g30	Ki	2.509	0.581
2wr8	Ki	5.444	0.500
3dx3	Ki	6.523	0.668
2vwo	Ki	7.509	0.992
2zx7	Ki	10.492	0.761
3g1d	Ki	3.481	0.679
3fed	Ki	7.461	0.641
3hl5	Ki	4.469	0.932
2wbg	Ki	4.453	0.816
3gr2	Ki	2.523	0.666
2vvc	Ki	8.523	0.993
3hkt	Ki	5.387	0.801
3d8z	Ki	3.374	0.882
3g2z	Ki	2.357	0.522
3hkn	Ki	5.346	0.806
3hkq	Ki	5.342	0.725
3gtc	Ki	2.347	0.633
3dc3	Ki	8.310	0.947
3djo	Ki	4.389	0.868
3kmc	Ki	6.398	0.956
3ebh	Ki	6.320	0.929
3ip8	Ki	2.284	0.553
3hek	Ki	8.268	0.986
3hll	Ki	8.237	0.948
3fl5	Ki	7.284	0.981
3gc5	Ki	7.260	0.955
3f8e	Ki	7.229	0.886
3fqe	Ki	8.301	0.980
3hku	Ki	8.301	0.726
3hvi	Ki	8.301	0.939
3jy0	Ki	8.301	0.982
2zxd	Ki	5.222	0.500
3gqz	Ki	2.174	0.612
3djp	Ki	4.199	0.824
3k2f	Ki	7.201	0.912
3g1v	Ki	3.190	0.676
3gdt	Ki	7.194	0.500
2vvv	Ki	8.222	0.994
3dne	Ki	5.222	0.963
3d8w	Ki	8.155	0.967
3gv9	Ki	2.125	0.500
3a9i	Ki	4.151	0.504
3myg	Kd	10.699	0.960
3ffp	Ki	7.140	0.949
3dx4	Ki	7.119	0.697
3d6o	Ki	4.114	0.877
3ebi	Ki	7.102	0.948
3mhl	Kd	7.252	0.975
3f68	Ki	5.060	0.987
3dbu	Ki	8.056	0.965
3f7h	Ki	7.086	0.801
2w5g	Ki	6.066	0.799
2w66	Ki	4.051	0.892
2vvu	Ki	8.097	0.992
3lzu	Kd	10.060	0.994
2vwm	Ki	7.032	0.994
2vwl	Ki	7.022	0.993
2wvz	Ki	4.018	0.775
2jkh	Ki	8.046	0.993
3lzs	Kd	10.963	0.993
3m5e	Kd	7.367	0.968
3hu3	Kd	6.886	0.848
3kdb	Kd	9.854	0.991
3m3x	Kd	6.824	0.969
3lxk	Kd	9.796	0.961
3m40	Kd	6.770	0.974
3m67	Kd	6.745	0.967
3ip5	Kd	6.222	0.556
3kdm	Kd	7.000	0.500
3mhm	Kd	7.000	0.977
3ip6	Kd	6.602	0.556
3hzk	Kd	6.699	0.744
3mhi	Kd	6.699	0.976
2xjj	Kd	6.509	0.953
3mho	Kd	6.495	0.964
3nw3	Kd	6.495	0.688
2xdx	Kd	6.456	0.971
3acl	Kd	6.222	0.861
3hzv	Kd	6.523	0.752
3k1j	Kd	6.398	0.859
3kdc	Kd	9.284	0.991
2xab	Kd	9.268	0.971
3hcm	Kd	3.301	0.500
3k5v	Kd	6.301	0.932
3p2e	Kd	6.222	0.561
2xjx	Kd	9.149	0.977
3nex	Kd	6.000	0.717
2xht	Kd	5.959	0.960
3kgu	Kd	5.921	0.665
3neo	Kd	5.921	0.713
3lka	Kd	2.824	0.940
3k00	Kd	5.770	0.500
3gy2	Kd	5.745	0.994
3k02	Kd	5.000	0.500
3huc	Kd	5.987	0.958
3lzz	Kd	3.836	0.623
3a5y	Kd	7.959	0.783
3juk	Kd	4.889	0.500
3m8u	Kd	4.889	0.920
3ies	Kd	9.921	0.847
3lp4	Kd	4.883	0.892
2xjg	Kd	7.824	0.952
3kmx	Kd	4.824	0.972
3nq3	Kd	3.777	0.855
3iqu	Kd	4.770	0.500
3nim	Kd	4.752	0.869
2wq5	Kd	3.745	0.710
3lk8	Kd	7.706	0.946
3jrx	Kd	9.000	0.853
3gy3	Kd	5.627	0.994
3lpl	Kd	5.622	0.535
3hkw	Kd	8.638	0.884
3ip9	Kd	5.620	0.646
3nes	Kd	5.620	0.720
3mss	Kd	4.658	0.862
2x4z	Kd	8.569	0.947
3jyr	Kd	5.538	0.970
3l59	Kd	3.699	0.974
3nkk	Kd	4.699	0.981
3miy	Kd	7.678	0.924
3oy8	Kd	3.658	0.709
3ljo	Kd	6.622	0.995
3lgs	Kd	4.606	0.500
3jzj	Kd	3.606	0.500
3o4k	Kd	7.620	0.727
2xdk	Kd	3.602	0.976
3fh7	Kd	7.602	0.927
3p8p	Kd	4.553	0.500
3kgt	Kd	5.509	0.646
3i73	Kd	5.491	0.548
3hmp	Kd	5.489	0.934
2xde	Kd	5.466	0.650
3kdd	Kd	8.462	0.992
3lp7	Kd	5.444	0.743
3gy7	Kd	4.523	0.977
2xbv	Kd	8.432	0.994
3nhi	Kd	8.432	0.517
3ng4	Kd	5.432	0.500
3hmo	Kd	7.516	0.956
3kmy	Kd	4.495	0.966
3o8p	Kd	6.456	0.892
3nik	Kd	3.445	0.618
3kqr	Kd	4.434	0.688
2wyf	Kd	4.432	0.500
3hzm	Kd	5.523	0.711
3mf5	Kd	5.365	0.860
3npc	Kd	8.337	0.944
3nee	Kd	5.337	0.692
2x00	Kd	11.328	0.853
3k8q	Kd	11.284	0.718
3n9s	Kd	5.260	0.756
3lq2	Kd	5.224	0.721
2xib	Kd	7.259	0.500
3p5o	Kd	7.258	0.984
3o84	Kd	7.237	0.793
3kyq	Kd	4.222	0.500
2xdl	Kd	3.102	0.975
2xii	Kd	7.199	0.890
3ms9	Kd	5.222	0.500
3n1c	Kd	5.222	0.577
3nx7	Kd	8.103	0.948
2wvt	Kd	6.122	0.500
3oyw	Kd	4.108	0.722
3hub	Kd	8.086	0.973
3k8o	Kd	11.066	0.634
3hky	Kd	7.097	0.875
3m3c	Kd	4.064	0.651
3gy4	Kd	5.097	0.982
3i51	Ki	7.699	0.500
2xbp	Kd	5.018	0.837
3ouj	Kd	6.046	0.500
3n8k	Kd	4.046	0.901
3nq9	Kd	4.033	0.800
3nht	Kd	7.009	0.560
2xeg	Ki	10.699	0.882
2xei	Ki	10.620	0.885
3liw	Ki	7.602	0.992
3hfb	Ki	7.523	0.863
3l4u	Ki	7.523	0.651
3mxe	Ki	10.013	0.993
3i4y	Ki	7.046	0.500
3l4y	Ki	7.000	0.710
3gt9	Ki	3.959	0.739
2xda	Ki	6.222	0.773
2xmy	Ki	9.959	0.990
3iae	Ki	3.886	0.889
3l4x	Ki	6.886	0.693
2xef	Ki	9.839	0.837
3m36	Ki	9.824	0.993
3nu3	Ki	9.824	0.994
2xej	Ki	8.873	0.738
3mxd	Ki	8.833	0.994
3nuo	Ki	9.796	0.993
2xhm	Ki	6.796	0.883
3l4v	Ki	6.721	0.681
3l4z	Ki	6.721	0.698
3rf4	Ki	6.252	0.509
2wly	Ki	6.602	0.743
3hf8	Ki	6.509	0.823
2xd9	Ki	6.456	0.654
3nuj	Ki	9.387	0.992
3fvk	Ki	8.824	0.800
2xyd	Ki	6.824	0.917
3aaq	Ki	3.301	0.668
3fv1	Ki	9.301	0.853
3nu6	Ki	9.301	0.990
3lpp	Ki	6.222	0.568
2xb7	Ki	9.187	0.975
4daf	Kd	7.119	0.770
3p8z	Ki	6.086	0.864
3a2o	Ki	9.081	0.994
3fvl	Ki	6.066	0.500
3owj	Ki	6.066	0.963
3lea	Ki	9.097	0.981
3lpk	Ki	9.097	0.988
3mdz	Ki	9.097	0.802
3m37	Ki	9.041	0.993
3nu9	Ki	9.046	0.992
3l4w	Ki	6.000	0.500
3lmk	Ki	5.936	0.513
3k8c	Ki	2.921	0.534
3k37	Ki	8.921	0.858
3nu4	Ki	8.824	0.992
2wtv	Ki	8.745	0.788
2xbw	Ki	8.000	0.994
3k97	Ki	8.000	0.972
2x95	Ki	4.947	0.907
3lvw	Ki	2.674	0.600
3lir	Ki	6.924	0.954
2x8z	Ki	7.959	0.745
3mhc	Ki	7.959	0.968
3n2u	Ki	7.845	0.884
2xnb	Ki	6.827	0.990
3t6b	Kd	6.357	0.612
2xbx	Ki	7.824	0.993
3fvn	Ki	6.772	0.827
3agl	Ki	7.796	0.980
3gi4	Ki	10.796	0.993
3acw	Ki	4.757	0.855
2x09	Ki	3.757	0.698
3mi2	Ki	7.770	0.894
3ljg	Ki	7.730	0.964
2x91	Ki	6.745	0.869
2xc0	Ki	6.717	0.993
2wyj	Ki	9.000	0.991
3nox	Ki	8.658	0.880
2x97	Ki	5.658	0.897
2xj7	Ki	6.658	0.889
2x7t	Ki	6.635	0.954
3l0v	Ki	7.638	0.950
3lxe	Ki	6.602	0.731
3kr4	Ki	7.602	0.685
2wlz	Ki	4.602	0.580
2x0y	Ki	4.602	0.558
2xb8	Ki	7.585	0.936
3rdo	Kd	9.854	0.500
3hp9	Ki	4.585	0.843
3ipq	Ki	7.569	0.856
3fuz	Ki	6.538	0.882
2wyg	Ki	8.699	0.991
3i60	Ki	8.699	0.977
3i5z	Ki	8.699	0.972
3acx	Ki	5.699	0.784
3kku	Ki	5.699	0.500
3i25	Ki	8.509	0.986
3mi3	Ki	5.449	0.910
3mjl	Ki	2.444	0.789
3mfv	Ki	2.523	0.619
3mfw	Ki	3.523	0.755
2wm0	Ki	4.523	0.546
3n2v	Ki	7.509	0.962
3aas	Ki	4.509	0.988
3nyx	Ki	7.495	0.970
3hl8	Ki	4.495	0.513
2xn3	Kd	5.922	0.500
3l3l	Ki	7.481	0.930
3pd8	Ki	6.458	0.892
3own	Ki	7.469	0.884
3k5x	Ki	6.409	0.500
3lpi	Ki	8.523	0.988
3iog	Ki	5.523	0.828
3m1k	Ki	5.387	0.646
3kek	Ki	8.357	0.935
3nu5	Ki	8.347	0.994
3k4q	Ki	5.337	0.672
3ipu	Ki	7.319	0.851
4lzs	Kd	4.796	0.950
3mhw	Ki	2.298	0.962
3o5x	Ki	5.284	0.500
3i3b	Ki	2.229	0.628
3ok9	Ki	11.229	0.994
2x7u	Ki	5.272	0.927
3gta	Ki	4.276	0.800
3n3g	Ki	7.237	0.894
4d8z	Kd	6.292	0.892
3kgq	Ki	2.301	0.514
3gjw	Ki	8.301	0.933
2wzm	Ki	5.222	0.500
3l3n	Ki	8.180	0.935
3rlb	Kd	9.921	0.500
3pd9	Ki	6.222	0.878
3k99	Ki	7.222	0.971
3m35	Ki	7.222	0.994
3mz6	Ki	7.201	0.972
3nsn	Ki	7.187	0.627
3l3m	Ki	8.222	0.956
3le9	Ki	8.222	0.968
3gi6	Ki	11.222	0.993
3gi5	Ki	11.222	0.993
3iof	Ki	5.222	0.867
3fv2	Ki	8.114	0.878
3n9r	Ki	7.155	0.819
2xg9	Ki	4.155	0.766
3u5j	Kd	5.609	0.979
3n7o	Ki	7.143	0.971
3k4d	Ki	5.111	0.695
3i4b	Ki	8.155	0.940
3nxq	Ki	8.155	0.906
3ryz	Kd	8.620	0.936
3kwa	Ki	4.076	0.890
3mof	Ki	3.066	0.661
3aho	Ki	7.051	0.879
3aau	Ki	5.046	0.994
3ahn	Ki	7.045	0.859
3igp	Ki	7.025	0.891
2x96	Ki	4.027	0.865
2xc4	Ki	8.046	0.993
3ag9	Ki	8.046	0.985
3b24	Kd	4.377	0.978
3arp	Kd	7.155	0.645
3qx9	Kd	4.046	0.500
3ap4	Kd	3.921	0.786
3r1v	Kd	6.921	0.500
3uex	Kd	6.921	0.900
3s8o	Kd	6.854	0.914
3ao2	Kd	3.770	0.500
3aqt	Kd	6.721	0.500
3zyu	Kd	7.000	0.983
3b26	Kd	6.638	0.981
3ove	Kd	6.569	0.926
3o75	Kd	6.680	0.500
3s0e	Kd	6.553	0.867
3pgu	Kd	6.699	0.500
3s0b	Kd	6.495	0.787
2yki	Kd	9.456	0.985
3o9p	Kd	6.523	0.786
2x6x	Kd	3.678	0.580
3tf6	Kd	6.398	0.634
3qlm	Kd	6.366	0.500
3rdq	Kd	9.310	0.543
3uew	Kd	6.310	0.898
3arq	Kd	6.398	0.715
3rux	Kd	9.276	0.946
3s8n	Kd	6.208	0.882
3u5l	Kd	6.194	0.980
3arw	Kd	6.155	0.597
3b25	Kd	6.066	0.972
3pwm	Kd	9.097	0.993
2yay	Kd	6.097	0.551
3t1m	Kd	3.041	0.988
3alt	Kd	2.924	0.500
3rz7	Kd	8.959	0.942
3uev	Kd	5.889	0.914
3tcg	Kd	5.866	0.654
3ppr	Kd	2.824	0.734
3qqa	Kd	5.824	0.799
3rm4	Kd	5.772	0.712
2xp7	Kd	5.770	0.831
3rz1	Kd	8.745	0.941
3p9m	Kd	5.000	0.508
3pju	Kd	4.883	0.527
3pyy	Kd	6.863	0.929
2ylc	Kd	7.886	0.808
3rz5	Kd	7.886	0.872
3zyf	Kd	4.851	0.730
3ocp	Kd	7.569	0.663
3q6w	Kd	7.569	0.986
3ru1	Kd	4.848	0.971
2yb0	Kd	3.854	0.616
3s75	Kd	6.824	0.697
3ryj	Kd	7.796	0.896
3rm9	Kd	4.770	0.520
3p7i	Kd	7.701	0.586
3q6z	Kd	3.717	0.669
3td4	Kd	5.658	0.500
3s71	Kd	8.638	0.782
3s8l	Kd	5.638	0.903
3ldp	Kd	5.618	0.885
3qps	Kd	5.602	0.940
3ovn	Kd	2.553	0.500
2y7i	Kd	5.538	0.621
3ujd	Kd	4.695	0.881
2xn5	Kd	6.688	0.500
3q7q	Kd	5.647	0.971
3uj9	Kd	4.631	0.876
3sk2	Kd	3.613	0.693
3p3s	Kd	7.585	0.654
3ujc	Kd	4.585	0.859
2xj1	Kd	7.553	0.985
3rz0	Kd	7.553	0.854
3ppq	Kd	4.553	0.500
3s73	Kd	8.699	0.835
2yix	Kd	8.481	0.942
3u10	Kd	5.444	0.500
3r6u	Kd	4.516	0.500
3myq	Kd	7.523	0.966
3m6r	Kd	7.495	0.794
3ta0	Kd	3.471	0.559
3s78	Kd	6.469	0.885
3axz	Kd	3.429	0.698
3rsx	Kd	4.411	0.956
3ryy	Kd	7.420	0.822
3qkd	Kd	8.377	0.758
3arx	Kd	5.328	0.809
3pe1	Ki	9.652	0.983
3s72	Kd	6.398	0.848
3n35	Kd	3.366	0.524
2ydw	Kd	7.337	0.904
3qxv	Kd	8.398	0.832
3r24	Kd	5.253	0.833
3ueu	Kd	5.236	0.933
3ao5	Kd	2.229	0.500
2yel	Kd	7.280	0.982
3p3r	Kd	7.251	0.704
3ta1	Kd	3.246	0.609
3p3t	Kd	7.237	0.672
3zqe	Kd	4.229	0.541
3p9l	Kd	5.301	0.500
3q71	Kd	5.222	0.709
3ov1	Kd	5.204	0.870
3rz8	Kd	8.174	0.891
3ozj	Kd	5.114	0.930
3b27	Kd	5.161	0.975
3m96	Kd	7.222	0.958
2yek	Kd	7.213	0.898
3s77	Kd	7.215	0.903
2xj2	Kd	7.180	0.984
3qfd	Kd	4.167	0.867
3ppp	Kd	5.222	0.500
3qxt	Kd	5.222	0.590
3tao	Kd	5.138	0.500
3ryx	Kd	8.137	0.921
2yaz	Kd	5.137	0.771
2yk1	Kd	8.131	0.543
3mam	Kd	4.119	0.500
3o56	Kd	9.100	0.922
2ygf	Kd	5.094	0.968
3ao4	Kd	2.071	0.500
2xm1	Kd	5.071	0.860
2yge	Kd	5.064	0.962
3rlp	Kd	7.076	0.968
2xpk	Ki	11.301	0.674
3ryv	Kd	7.066	0.797
2xxt	Kd	8.046	0.625
3s76	Kd	5.046	0.871
3s0d	Kd	7.046	0.601
3po1	Kd	4.022	0.985
3zxz	Ki	8.398	0.984
3u8n	Ki	10.174	0.500
3pbb	Ki	7.022	0.941
3r4n	Ki	6.886	0.982
3mv0	Ki	3.854	0.630
3n76	Ki	6.854	0.922
3pe2	Ki	9.757	0.985
3ozp	Ki	6.620	0.799
3pb9	Ki	6.582	0.615
3qox	Ki	6.569	0.886
3ppm	Ki	9.538	0.643
3sr4	Ki	6.538	0.928
3sm2	Ki	9.699	0.500
3muz	Ki	3.456	0.695
2xog	Ki	3.432	0.886
3p8n	Ki	9.276	0.798
3nzk	Ki	9.268	0.905
4ovf	Ki	4.131	0.500
3ozg	Ki	9.187	0.683
3rwp	Ki	9.222	0.943
2ya7	Ki	3.143	0.552
3qfy	Ki	6.125	0.586
3zq9	Ki	6.022	0.553
5bs4	Kd	11.004	0.994
3r4m	Ki	5.921	0.966
2y7x	Ki	8.886	0.992
3zze	Ki	8.886	0.981
3qgw	Ki	5.886	0.900
3o9i	Ki	11.824	0.994
3oaf	Ki	8.796	0.990
2ya8	Ki	5.752	0.512
3pb7	Ki	5.741	0.843
3m3z	Ki	5.733	0.936
3p8o	Ki	8.724	0.820
3oy0	Ki	7.996	0.919
3oyq	Ki	7.987	0.890
3t82	Ki	6.996	0.863
3slz	Ki	6.991	0.517
3t83	Ki	6.979	0.781
3t84	Ki	6.975	0.783
3sio	Ki	8.000	0.673
3t85	Ki	7.947	0.864
3pn1	Ki	6.959	0.500
3o5n	Ki	4.764	0.500
3r4p	Ki	7.959	0.985
3old	Ki	5.901	0.500
3oe5	Ki	6.879	0.949
3pn4	Ki	6.854	0.859
2y5g	Ki	6.836	0.993
3ohi	Ki	4.854	0.755
3ai8	Ki	3.811	0.534
3s2v	Ki	6.804	0.806
3prs	Ki	7.824	0.904
3n2p	Ki	7.824	0.966
3o99	Ki	10.824	0.994
2y5h	Ki	5.790	0.993
3qgy	Ki	7.796	0.934
3oim	Ki	6.745	0.934
3p3g	Ki	9.745	0.865
3nb5	Ki	7.745	0.937
3o9d	Ki	10.721	0.994
3ui7	Ki	9.000	0.957
3ucj	Ki	6.000	0.574
3u8k	Ki	8.658	0.500
3rf5	Ki	5.625	0.500
3n86	Ki	5.638	0.945
3qaa	Ki	11.538	0.993
3n7a	Ki	3.699	0.843
3th9	Ki	7.699	0.993
3o9a	Ki	10.699	0.993
3oil	Ki	5.678	0.935
3mzc	Ki	6.646	0.917
3sjf	Ki	7.638	0.860
2xm2	Ki	4.620	0.856
3p58	Ki	7.595	0.801
3t8v	Ki	6.585	0.960
2xxr	Ki	6.553	0.905
3ni5	Ki	7.553	0.861
2y5f	Ki	8.699	0.993
2y81	Ki	8.699	0.992
3mmf	Ki	7.432	0.975
2y7z	Ki	8.699	0.992
2ya6	Ki	5.699	0.597
3ml5	Ki	8.523	0.822
2ydt	Ki	5.523	0.549
3tza	Ki	5.502	0.824
3u8j	Ki	8.509	0.500
3b1m	Ki	8.481	0.927
3n3j	Ki	8.481	0.960
2xyf	Ki	8.444	0.990
3str	Ki	8.402	0.946
3rlr	Ki	7.523	0.978
3sw8	Ki	4.499	0.917
3qt6	Ki	5.367	0.773
2xye	Ki	8.337	0.990
3p17	Ki	4.476	0.988
3nyd	Ki	3.481	0.676
3t01	Ki	4.481	0.500
3oe4	Ki	7.469	0.959
3ocz	Ki	7.456	0.764
3pfp	Ki	6.444	0.526
2xys	Ki	7.420	0.709
2xxx	Ki	6.409	0.908
3r17	Ki	6.409	0.925
3ldq	Ki	5.365	0.935
3t1a	Ki	8.367	0.961
3q1x	Ki	5.328	0.654
3p5l	Ki	7.389	0.900
3rlq	Ki	7.398	0.981
3u9q	Ki	4.380	0.869
3mna	Ki	7.387	0.977
3oku	Ki	6.357	0.939
3rt8	Ki	6.346	0.768
3rtf	Ki	7.347	0.827
3ozs	Ki	5.333	0.974
3pww	Ki	7.319	0.886
3q44	Ki	6.310	0.937
2y82	Ki	8.398	0.992
3sww	Ki	8.398	0.802
3pb8	Ki	5.240	0.721
2xyt	Ki	6.293	0.694
3n0n	Ki	7.301	0.961
3r16	Ki	7.301	0.912
3tfu	Ki	3.284	0.715
3o7u	Ki	7.284	0.909
3qfz	Ki	3.244	0.569
3rv4	Ki	2.301	0.853
3o9e	Ki	11.301	0.994
3st5	Ki	11.301	0.993
3pgl	Ki	5.301	0.500
3roc	Ki	8.194	0.952
3q2j	Ki	4.180	0.723
3ps1	Ki	10.174	0.919
3ljz	Ki	8.137	0.947
3s9e	Ki	5.129	0.937
3ozr	Ki	5.154	0.868
3ozt	Ki	4.126	0.952
2x2r	Ki	7.118	0.947
3tu7	Ki	8.088	0.992
2yfx	Ki	8.086	0.963
3u8l	Ki	8.051	0.500
3po6	Ki	7.059	0.901
3p4v	Ki	5.097	0.858
3n4b	Ki	7.018	0.949
2y80	Ki	8.046	0.992
3ml2	Ki	8.046	0.931
4b74	Kd	7.658	0.716
4asj	Kd	7.553	0.786
3uug	Kd	4.509	0.500
4dy6	Kd	4.398	0.830
4b73	Kd	7.208	0.733
4arw	Kd	7.131	0.768
4fcq	Kd	6.996	0.981
4dew	Kd	7.000	0.690
3v3q	Kd	6.602	0.713
4dkq	Kd	6.602	0.980
4h75	Kd	6.602	0.754
4db7	Kd	6.564	0.878
4a4v	Kd	6.542	0.920
4aqh	Kd	6.538	0.500
4ewn	Kd	6.699	0.549
4dkr	Kd	6.523	0.982
4b5s	Kd	3.495	0.500
4dko	Kd	6.523	0.971
3tay	Kd	3.377	0.500
4b0b	Kd	3.328	0.500
4b5t	Kd	3.328	0.500
4b5w	Kd	3.328	0.500
4der	Kd	6.310	0.681
4erf	Kd	9.398	0.980
4eu0	Kd	6.398	0.835
3vhd	Kd	9.284	0.987
4etz	Kd	6.301	0.617
4aq4	Kd	6.167	0.581
3sfg	Kd	6.063	0.644
4gah	Kd	6.097	0.916
4g0p	Kd	3.009	0.692
4ara	Kd	6.046	0.870
4fm8	Kd	5.975	0.980
3uil	Kd	6.000	0.500
4dst	Kd	2.959	0.500
4ai5	Kd	2.921	0.500
